fabric_code,loom_code,component_code
FAB-W001,LC-1001,Y-CTN-001
FAB-W002,LC-1002,Y-PLY-002
FAB-W003,LC-2001,Y-SLK-003
FAB-W004,LC-2002,Y-CTN-004
FAB-W005,LC-3001,Y-LNN-005
FAB-W006,LC-3002,Y-PLY-006
FAB-W001,LC-1001,C-WVN-007
FAB-W0007,LC-4001,Y-GEN-1000
FAB-W0008,LC-4002,Y-GEN-1001
FAB-W0009,LC-4003,Y-GEN-1002
FAB-W0010,LC-4004,Y-GEN-1003
FAB-W0011,LC-4005,Y-GEN-1004
FAB-W0012,LC-4006,Y-GEN-1005
FAB-W0013,LC-4007,Y-GEN-1006
FAB-W0014,LC-4008,Y-GEN-1007
FAB-W0015,LC-4009,Y-GEN-1008
FAB-W0016,LC-4010,Y-GEN-1009
FAB-W0017,LC-4011,Y-GEN-1010
FAB-W0018,LC-4012,Y-GEN-1011
FAB-W0019,LC-4013,Y-GEN-1012
FAB-W0020,LC-4014,Y-GEN-1013
FAB-W0021,LC-4015,Y-GEN-1014
FAB-W0022,LC-4016,Y-GEN-1015
FAB-W0023,LC-4017,Y-GEN-1016
FAB-W0024,LC-4018,Y-GEN-1017
FAB-W0025,LC-4019,Y-GEN-1018
FAB-W0026,LC-4020,Y-GEN-1019
FAB-W0027,LC-4021,Y-GEN-1020
FAB-W0028,LC-4022,Y-GEN-1021
FAB-W0029,LC-4023,Y-GEN-1022
FAB-W0030,LC-4024,Y-GEN-1023
FAB-W0031,LC-4025,Y-GEN-1024
FAB-W0032,LC-4026,Y-GEN-1025
FAB-W0033,LC-4027,Y-GEN-1026
FAB-W0034,LC-4028,Y-GEN-1027
FAB-W0035,LC-4029,Y-GEN-1028
FAB-W0036,LC-4030,Y-GEN-1029
FAB-W0037,LC-4031,Y-GEN-1030
FAB-W0038,LC-4032,Y-GEN-1031
FAB-W0039,LC-4033,Y-GEN-1032
FAB-W0040,LC-4034,Y-GEN-1033
FAB-W0041,LC-4035,Y-GEN-1034
FAB-W0042,LC-4036,Y-GEN-1035
FAB-W0043,LC-4037,Y-GEN-1036
FAB-W0044,LC-4038,Y-GEN-1037
FAB-W0045,LC-4039,Y-GEN-1038
FAB-W0046,LC-4040,Y-GEN-1039
FAB-W0047,LC-4041,Y-GEN-1040
FAB-W0048,LC-4042,Y-GEN-1041
FAB-W0049,LC-4043,Y-GEN-1042
FAB-W0050,LC-4044,Y-GEN-1043
FAB-W0051,LC-4045,Y-GEN-1044
FAB-W0052,LC-4046,Y-GEN-1045
FAB-W0053,LC-4047,Y-GEN-1046
FAB-W0054,LC-4048,Y-GEN-1047
FAB-W0055,LC-4049,Y-GEN-1048
FAB-W0056,LC-4050,Y-GEN-1049
FAB-W0057,LC-4051,Y-GEN-1050
FAB-W0058,LC-4052,Y-GEN-1051
FAB-W0059,LC-4053,Y-GEN-1052
FAB-W0060,LC-4054,Y-GEN-1053
FAB-W0061,LC-4055,Y-GEN-1054
FAB-W0062,LC-4056,Y-GEN-1055
FAB-W0063,LC-4057,Y-GEN-1056
FAB-W0064,LC-4058,Y-GEN-1057
FAB-W0065,LC-4059,Y-GEN-1058
FAB-W0066,LC-4060,Y-GEN-1059
FAB-W0067,LC-4061,Y-GEN-1060
FAB-W0068,LC-4062,Y-GEN-1061
FAB-W0069,LC-4063,Y-GEN-1062
FAB-W0070,LC-4064,Y-GEN-1063
FAB-W0071,LC-4065,Y-GEN-1064
FAB-W0072,LC-4066,Y-GEN-1065
FAB-W0073,LC-4067,Y-GEN-1066
FAB-W0074,LC-4068,Y-GEN-1067
FAB-W0075,LC-4069,Y-GEN-1068
FAB-W0076,LC-4070,Y-GEN-1069
FAB-W0077,LC-4071,Y-GEN-1070
FAB-W0078,LC-4072,Y-GEN-1071
FAB-W0079,LC-4073,Y-GEN-1072
FAB-W0080,LC-4074,Y-GEN-1073
FAB-W0081,LC-4075,Y-GEN-1074
FAB-W0082,LC-4076,Y-GEN-1075
FAB-W0083,LC-4077,Y-GEN-1076
FAB-W0084,LC-4078,Y-GEN-1077
FAB-W0085,LC-4079,Y-GEN-1078
FAB-W0086,LC-4080,Y-GEN-1079
FAB-W0087,LC-4081,Y-GEN-1080
FAB-W0088,LC-4082,Y-GEN-1081
FAB-W0089,LC-4083,Y-GEN-1082
FAB-W0090,LC-4084,Y-GEN-1083
FAB-W0091,LC-4085,Y-GEN-1084
FAB-W0092,LC-4086,Y-GEN-1085
FAB-W0093,LC-4087,Y-GEN-1086
FAB-W0094,LC-4088,Y-GEN-1087
FAB-W0095,LC-4089,Y-GEN-1088
FAB-W0096,LC-4090,Y-GEN-1089
FAB-W0097,LC-4091,Y-GEN-1090
FAB-W0098,LC-4092,Y-GEN-1091
FAB-W0099,LC-4093,Y-GEN-1092
FAB-W0100,LC-4094,Y-GEN-1093
FAB-W0101,LC-4095,Y-GEN-1094
FAB-W0102,LC-4096,Y-GEN-1095
FAB-W0103,LC-4097,Y-GEN-1096
FAB-W0104,LC-4098,Y-GEN-1097
FAB-W0105,LC-4099,Y-GEN-1098
FAB-W0106,LC-4100,Y-GEN-1099
FAB-W0107,LC-4101,Y-GEN-1100
FAB-W0108,LC-4102,Y-GEN-1101
FAB-W0109,LC-4103,Y-GEN-1102
FAB-W0110,LC-4104,Y-GEN-1103
FAB-W0111,LC-4105,Y-GEN-1104
FAB-W0112,LC-4106,Y-GEN-1105
FAB-W0113,LC-4107,Y-GEN-1106
FAB-W0114,LC-4108,Y-GEN-1107
FAB-W0115,LC-4109,Y-GEN-1108
FAB-W0116,LC-4110,Y-GEN-1109
FAB-W0117,LC-4111,Y-GEN-1110
FAB-W0118,LC-4112,Y-GEN-1111
FAB-W0119,LC-4113,Y-GEN-1112
FAB-W0120,LC-4114,Y-GEN-1113
FAB-W0121,LC-4115,Y-GEN-1114
FAB-W0122,LC-4116,Y-GEN-1115
FAB-W0123,LC-4117,Y-GEN-1116
FAB-W0124,LC-4118,Y-GEN-1117
FAB-W0125,LC-4119,Y-GEN-1118
FAB-W0126,LC-4120,Y-GEN-1119
FAB-W0127,LC-4121,Y-GEN-1120
FAB-W0128,LC-4122,Y-GEN-1121
FAB-W0129,LC-4123,Y-GEN-1122
FAB-W0130,LC-4124,Y-GEN-1123
FAB-W0131,LC-4125,Y-GEN-1124
FAB-W0132,LC-4126,Y-GEN-1125
FAB-W0133,LC-4127,Y-GEN-1126
FAB-W0134,LC-4128,Y-GEN-1127
FAB-W0135,LC-4129,Y-GEN-1128
FAB-W0136,LC-4130,Y-GEN-1129
FAB-W0137,LC-4131,Y-GEN-1130
FAB-W0138,LC-4132,Y-GEN-1131
FAB-W0139,LC-4133,Y-GEN-1132
FAB-W0140,LC-4134,Y-GEN-1133
FAB-W0141,LC-4135,Y-GEN-1134
FAB-W0142,LC-4136,Y-GEN-1135
FAB-W0143,LC-4137,Y-GEN-1136
FAB-W0144,LC-4138,Y-GEN-1137
FAB-W0145,LC-4139,Y-GEN-1138
FAB-W0146,LC-4140,Y-GEN-1139
FAB-W0147,LC-4141,Y-GEN-1140
FAB-W0148,LC-4142,Y-GEN-1141
FAB-W0149,LC-4143,Y-GEN-1142
FAB-W0150,LC-4144,Y-GEN-1143
FAB-W0151,LC-4145,Y-GEN-1144
FAB-W0152,LC-4146,Y-GEN-1145
FAB-W0153,LC-4147,Y-GEN-1146
FAB-W0154,LC-4148,Y-GEN-1147
FAB-W0155,LC-4149,Y-GEN-1148
FAB-W0156,LC-4150,Y-GEN-1149
FAB-W0157,LC-4151,Y-GEN-1150
FAB-W0158,LC-4152,Y-GEN-1151
FAB-W0159,LC-4153,Y-GEN-1152
FAB-W0160,LC-4154,Y-GEN-1153
FAB-W0161,LC-4155,Y-GEN-1154
FAB-W0162,LC-4156,Y-GEN-1155
FAB-W0163,LC-4157,Y-GEN-1156
FAB-W0164,LC-4158,Y-GEN-1157
FAB-W0165,LC-4159,Y-GEN-1158
FAB-W0166,LC-4160,Y-GEN-1159
FAB-W0167,LC-4161,Y-GEN-1160
FAB-W0168,LC-4162,Y-GEN-1161
FAB-W0169,LC-4163,Y-GEN-1162
FAB-W0170,LC-4164,Y-GEN-1163
FAB-W0171,LC-4165,Y-GEN-1164
FAB-W0172,LC-4166,Y-GEN-1165
FAB-W0173,LC-4167,Y-GEN-1166
FAB-W0174,LC-4168,Y-GEN-1167
FAB-W0175,LC-4169,Y-GEN-1168
FAB-W0176,LC-4170,Y-GEN-1169
FAB-W0177,LC-4171,Y-GEN-1170
FAB-W0178,LC-4172,Y-GEN-1171
FAB-W0179,LC-4173,Y-GEN-1172
FAB-W0180,LC-4174,Y-GEN-1173
FAB-W0181,LC-4175,Y-GEN-1174
FAB-W0182,LC-4176,Y-GEN-1175
FAB-W0183,LC-4177,Y-GEN-1176
FAB-W0184,LC-4178,Y-GEN-1177
FAB-W0185,LC-4179,Y-GEN-1178
FAB-W0186,LC-4180,Y-GEN-1179
FAB-W0187,LC-4181,Y-GEN-1180
FAB-W0188,LC-4182,Y-GEN-1181
FAB-W0189,LC-4183,Y-GEN-1182
FAB-W0190,LC-4184,Y-GEN-1183
FAB-W0191,LC-4185,Y-GEN-1184
FAB-W0192,LC-4186,Y-GEN-1185
FAB-W0193,LC-4187,Y-GEN-1186
FAB-W0194,LC-4188,Y-GEN-1187
FAB-W0195,LC-4189,Y-GEN-1188
FAB-W0196,LC-4190,Y-GEN-1189
FAB-W0197,LC-4191,Y-GEN-1190
FAB-W0198,LC-4192,Y-GEN-1191
FAB-W0199,LC-4193,Y-GEN-1192
FAB-W0200,LC-4194,Y-GEN-1193
FAB-W0201,LC-4195,Y-GEN-1194
FAB-W0202,LC-4196,Y-GEN-1195
FAB-W0203,LC-4197,Y-GEN-1196
FAB-W0204,LC-4198,Y-GEN-1197
FAB-W0205,LC-4199,Y-GEN-1198
FAB-W0206,LC-4200,Y-GEN-1199
FAB-W0207,LC-4201,Y-GEN-1200
FAB-W0208,LC-4202,Y-GEN-1201
FAB-W0209,LC-4203,Y-GEN-1202
FAB-W0210,LC-4204,Y-GEN-1203
FAB-W0211,LC-4205,Y-GEN-1204
FAB-W0212,LC-4206,Y-GEN-1205
FAB-W0213,LC-4207,Y-GEN-1206
FAB-W0214,LC-4208,Y-GEN-1207
FAB-W0215,LC-4209,Y-GEN-1208
FAB-W0216,LC-4210,Y-GEN-1209
FAB-W0217,LC-4211,Y-GEN-1210
FAB-W0218,LC-4212,Y-GEN-1211
FAB-W0219,LC-4213,Y-GEN-1212
FAB-W0220,LC-4214,Y-GEN-1213
FAB-W0221,LC-4215,Y-GEN-1214
FAB-W0222,LC-4216,Y-GEN-1215
FAB-W0223,LC-4217,Y-GEN-1216
FAB-W0224,LC-4218,Y-GEN-1217
FAB-W0225,LC-4219,Y-GEN-1218
FAB-W0226,LC-4220,Y-GEN-1219
FAB-W0227,LC-4221,Y-GEN-1220
FAB-W0228,LC-4222,Y-GEN-1221
FAB-W0229,LC-4223,Y-GEN-1222
FAB-W0230,LC-4224,Y-GEN-1223
FAB-W0231,LC-4225,Y-GEN-1224
FAB-W0232,LC-4226,Y-GEN-1225
FAB-W0233,LC-4227,Y-GEN-1226
FAB-W0234,LC-4228,Y-GEN-1227
FAB-W0235,LC-4229,Y-GEN-1228
FAB-W0236,LC-4230,Y-GEN-1229
FAB-W0237,LC-4231,Y-GEN-1230
FAB-W0238,LC-4232,Y-GEN-1231
FAB-W0239,LC-4233,Y-GEN-1232
FAB-W0240,LC-4234,Y-GEN-1233
FAB-W0241,LC-4235,Y-GEN-1234
FAB-W0242,LC-4236,Y-GEN-1235
FAB-W0243,LC-4237,Y-GEN-1236
FAB-W0244,LC-4238,Y-GEN-1237
FAB-W0245,LC-4239,Y-GEN-1238
FAB-W0246,LC-4240,Y-GEN-1239
FAB-W0247,LC-4241,Y-GEN-1240
FAB-W0248,LC-4242,Y-GEN-1241
FAB-W0249,LC-4243,Y-GEN-1242
FAB-W0250,LC-4244,Y-GEN-1243
FAB-W0251,LC-4245,Y-GEN-1244
FAB-W0252,LC-4246,Y-GEN-1245
FAB-W0253,LC-4247,Y-GEN-1246
FAB-W0254,LC-4248,Y-GEN-1247
FAB-W0255,LC-4249,Y-GEN-1248
FAB-W0256,LC-4250,Y-GEN-1249
FAB-W0257,LC-4251,Y-GEN-1250
FAB-W0258,LC-4252,Y-GEN-1251
FAB-W0259,LC-4253,Y-GEN-1252
FAB-W0260,LC-4254,Y-GEN-1253
FAB-W0261,LC-4255,Y-GEN-1254
FAB-W0262,LC-4256,Y-GEN-1255
FAB-W0263,LC-4257,Y-GEN-1256
FAB-W0264,LC-4258,Y-GEN-1257
FAB-W0265,LC-4259,Y-GEN-1258
FAB-W0266,LC-4260,Y-GEN-1259
FAB-W0267,LC-4261,Y-GEN-1260
FAB-W0268,LC-4262,Y-GEN-1261
FAB-W0269,LC-4263,Y-GEN-1262
FAB-W0270,LC-4264,Y-GEN-1263
FAB-W0271,LC-4265,Y-GEN-1264
FAB-W0272,LC-4266,Y-GEN-1265
FAB-W0273,LC-4267,Y-GEN-1266
FAB-W0274,LC-4268,Y-GEN-1267
FAB-W0275,LC-4269,Y-GEN-1268
FAB-W0276,LC-4270,Y-GEN-1269
FAB-W0277,LC-4271,Y-GEN-1270
