fabric_code,product_category,distribution_channel,production_plant
FAB-W001,EXPORT,CH01,6100
FAB-W002,EXPORT,CH01,6100
FAB-W003,EXPORT,CH02,7100
FAB-W004,DOMESTIC,CH03,7100
FAB-W005,EXPORT,CH02,9100
FAB-W006,DOMESTIC,CH03,9100
FAB-W0007,EXPORT,CH01,6100
FAB-W0008,DOMESTIC,CH02,7100
FAB-W0009,EXPORT,CH03,9100
FAB-W0010,DOMESTIC,CH04,6100
FAB-W0011,EXPORT,CH01,7100
FAB-W0012,DOMESTIC,CH02,9100
FAB-W0013,EXPORT,CH03,6100
FAB-W0014,DOMESTIC,CH04,7100
FAB-W0015,EXPORT,CH01,9100
FAB-W0016,DOMESTIC,CH02,6100
FAB-W0017,EXPORT,CH03,7100
FAB-W0018,DOMESTIC,CH04,9100
FAB-W0019,EXPORT,CH01,6100
FAB-W0020,DOMESTIC,CH02,7100
FAB-W0021,EXPORT,CH03,9100
FAB-W0022,DOMESTIC,CH04,6100
FAB-W0023,EXPORT,CH01,7100
FAB-W0024,DOMESTIC,CH02,9100
FAB-W0025,EXPORT,CH03,6100
FAB-W0026,DOMESTIC,CH04,7100
FAB-W0027,EXPORT,CH01,9100
FAB-W0028,DOMESTIC,CH02,6100
FAB-W0029,EXPORT,CH03,7100
FAB-W0030,DOMESTIC,CH04,9100
FAB-W0031,EXPORT,CH01,6100
FAB-W0032,DOMESTIC,CH02,7100
FAB-W0033,EXPORT,CH03,9100
FAB-W0034,DOMESTIC,CH04,6100
FAB-W0035,EXPORT,CH01,7100
FAB-W0036,DOMESTIC,CH02,9100
FAB-W0037,EXPORT,CH03,6100
FAB-W0038,DOMESTIC,CH04,7100
FAB-W0039,EXPORT,CH01,9100
FAB-W0040,DOMESTIC,CH02,6100
FAB-W0041,EXPORT,CH03,7100
FAB-W0042,DOMESTIC,CH04,9100
FAB-W0043,EXPORT,CH01,6100
FAB-W0044,DOMESTIC,CH02,7100
FAB-W0045,EXPORT,CH03,9100
FAB-W0046,DOMESTIC,CH04,6100
