fabric_code,prod_plant_code
FAB-W001,6100
FAB-W002,6100
FAB-W003,7200
FAB-W004,7200
FAB-W005,9200
FAB-W006,9100
FAB-W0007,6200
FAB-W0008,7100
FAB-W0009,9200
FAB-W0010,6100
FAB-W0011,7200
FAB-W0012,9100
FAB-W0013,6200
FAB-W0014,7100
FAB-W0015,9200
FAB-W0016,6100
FAB-W0017,7200
FAB-W0018,9100
FAB-W0019,6200
FAB-W0020,7100
FAB-W0021,9200
FAB-W0022,6100
FAB-W0023,7200
FAB-W0024,9100
FAB-W0025,6200
FAB-W0026,7100
FAB-W0027,9200
FAB-W0028,6100
FAB-W0029,7200
FAB-W0030,9100
FAB-W0031,6200
FAB-W0032,7100
FAB-W0033,9200
FAB-W0034,6100
FAB-W0035,7200
FAB-W0036,9100
FAB-W0037,6200
FAB-W0038,7100
FAB-W0039,9200
FAB-W0040,6100
FAB-W0041,7200
FAB-W0042,9100
FAB-W0043,6200
FAB-W0044,7100
FAB-W0045,9200
FAB-W0046,6100
FAB-W0047,7200
FAB-W0048,9100
FAB-W0049,6200
FAB-W0050,7100
FAB-W0051,9200
FAB-W0052,6100
FAB-W0053,7200
FAB-W0054,9100
FAB-W0055,6200
FAB-W0056,7100
FAB-W0057,9200
FAB-W0058,6100
FAB-W0059,7200
FAB-W0060,9100
FAB-W0061,6200
FAB-W0062,7100
FAB-W0063,9200
FAB-W0064,6100
FAB-W0065,7200
FAB-W0066,9100
FAB-W0067,6200
FAB-W0068,7100
FAB-W0069,9200
FAB-W0070,6100
FAB-W0071,7200
FAB-W0072,9100
FAB-W0073,6200
FAB-W0074,7100
FAB-W0075,9200
FAB-W0076,6100
FAB-W0077,7200
FAB-W0078,9100
FAB-W0079,6200
FAB-W0080,7100
FAB-W0081,9200
FAB-W0082,6100
FAB-W0083,7200
FAB-W0084,9100
FAB-W0085,6200
FAB-W0086,7100
FAB-W0087,9200
FAB-W0088,6100
FAB-W0089,7200
FAB-W0090,9100
FAB-W0091,6200
FAB-W0092,7100
FAB-W0093,9200
FAB-W0094,6100
FAB-W0095,7200
FAB-W0096,9100
FAB-W0097,6200
FAB-W0098,7100
FAB-W0099,9200
FAB-W0100,6100
FAB-W0101,7200
FAB-W0102,9100
FAB-W0103,6200
FAB-W0104,7100
FAB-W0105,9200
FAB-W0106,6100
FAB-W0107,7200
FAB-W0108,9100
FAB-W0109,6200
FAB-W0110,7100
FAB-W0111,9200
FAB-W0112,6100
FAB-W0113,7200
FAB-W0114,9100
FAB-W0115,6200
FAB-W0116,7100
FAB-W0117,9200
FAB-W0118,6100
FAB-W0119,7200
FAB-W0120,9100
FAB-W0121,6200
FAB-W0122,7100
FAB-W0123,9200
FAB-W0124,6100
FAB-W0125,7200
FAB-W0126,9100
FAB-W0127,6200
FAB-W0128,7100
FAB-W0129,9200
FAB-W0130,6100
FAB-W0131,7200
FAB-W0132,9100
FAB-W0133,6200
FAB-W0134,7100
FAB-W0135,9200
FAB-W0136,6100
FAB-W0137,7200
FAB-W0138,9100
FAB-W0139,6200
FAB-W0140,7100
FAB-W0141,9200
FAB-W0142,6100
FAB-W0143,7200
FAB-W0144,9100
FAB-W0145,6200
FAB-W0146,7100
FAB-W0147,9200
FAB-W0148,6100
FAB-W0149,7200
FAB-W0150,9100
FAB-W0151,6200
FAB-W0152,7100
FAB-W0153,9200
FAB-W0154,6100
FAB-W0155,7200
FAB-W0156,9100
FAB-W0157,6200
FAB-W0158,7100
FAB-W0159,9200
FAB-W0160,6100
FAB-W0161,7200
FAB-W0162,9100
FAB-W0163,6200
FAB-W0164,7100
FAB-W0165,9200
FAB-W0166,6100
FAB-W0167,7200
FAB-W0168,9100
FAB-W0169,6200
FAB-W0170,7100
FAB-W0171,9200
FAB-W0172,6100
FAB-W0173,7200
FAB-W0174,9100
FAB-W0175,6200
FAB-W0176,7100
FAB-W0177,9200
FAB-W0178,6100
FAB-W0179,7200
FAB-W0180,9100
FAB-W0181,6200
FAB-W0182,7100
FAB-W0183,9200
FAB-W0184,6100
FAB-W0185,7200
FAB-W0186,9100
FAB-W0187,6200
FAB-W0188,7100
FAB-W0189,9200
FAB-W0190,6100
FAB-W0191,7200
FAB-W0192,9100
FAB-W0193,6200
FAB-W0194,7100
FAB-W0195,9200
FAB-W0196,6100
FAB-W0197,7200
FAB-W0198,9100
FAB-W0199,6200
FAB-W0200,7100
FAB-W0201,9200
FAB-W0202,6100
FAB-W0203,7200
FAB-W0204,9100
FAB-W0205,6200
FAB-W0206,7100
FAB-W0207,9200
FAB-W0208,6100
FAB-W0209,7200
FAB-W0210,9100
FAB-W0211,6200
FAB-W0212,7100
FAB-W0213,9200
FAB-W0214,6100
FAB-W0215,7200
FAB-W0216,9100
FAB-W0217,6200
FAB-W0218,7100
FAB-W0219,9200
