plant_code,report_period,loom_code,cut_weight_ppc
6100,202310,LC-1001,1.185
6100,202312,LC-1001,1.2
6100,202401,LC-1001,1.215
6100,202311,LC-1002,0.965
6100,202401,LC-1002,0.98
7100,202312,LC-2001,1.49
7100,202401,LC-2001,1.5
7100,202310,LC-2002,0.84
7100,202401,LC-2002,0.85
9100,202312,LC-3001,1.09
9100,202401,LC-3001,1.1
9100,202401,LC-3002,0.75
6100,202403,LC-4001,1.1525
6100,202404,LC-4001,1.1434
7100,202403,LC-4002,1.1976
7100,202404,LC-4002,1.2333
9100,202403,LC-4003,0.8406
9100,202404,LC-4003,0.8425
6100,202403,LC-4004,1.2718
6100,202404,LC-4004,1.3022
7100,202403,LC-4005,1.4929
7100,202404,LC-4005,1.5632
9100,202403,LC-4006,1.4134
9100,202404,LC-4006,1.3987
6100,202403,LC-4007,1.3551
6100,202404,LC-4007,1.4206
7100,202403,LC-4008,0.9752
7100,202404,LC-4008,0.9681
9100,202403,LC-4009,1.4449
9100,202404,LC-4009,1.475
6100,202403,LC-4010,1.4827
6100,202404,LC-4010,1.5483
7100,202403,LC-4011,1.2292
7100,202404,LC-4011,1.2756
9100,202403,LC-4012,1.5591
9100,202404,LC-4012,1.537
6100,202403,LC-4013,0.8691
6100,202404,LC-4013,0.9119
7100,202403,LC-4014,1.4012
7100,202404,LC-4014,1.3996
9100,202403,LC-4015,0.7278
9100,202404,LC-4015,0.7228
6100,202403,LC-4016,1.1699
6100,202404,LC-4016,1.1912
7100,202403,LC-4017,1.5249
7100,202404,LC-4017,1.5642
9100,202403,LC-4018,1.3192
9100,202404,LC-4018,1.3838
6100,202403,LC-4019,1.1549
6100,202404,LC-4019,1.1567
7100,202403,LC-4020,0.9886
7100,202404,LC-4020,0.9925
9100,202403,LC-4021,1.1609
9100,202404,LC-4021,1.1653
6100,202403,LC-4022,1.5433
6100,202404,LC-4022,1.5243
7100,202403,LC-4023,0.7195
7100,202404,LC-4023,0.7433
9100,202403,LC-4024,1.3945
9100,202404,LC-4024,1.3932
6100,202403,LC-4025,0.9369
6100,202404,LC-4025,0.9713
7100,202403,LC-4026,1.5624
7100,202404,LC-4026,1.6258
9100,202403,LC-4027,0.7185
9100,202404,LC-4027,0.754
6100,202403,LC-4028,0.8653
6100,202404,LC-4028,0.8818
7100,202403,LC-4029,1.5375
7100,202404,LC-4029,1.614
9100,202403,LC-4030,1.4917
9100,202404,LC-4030,1.5109
6100,202403,LC-4031,0.967
6100,202404,LC-4031,0.984
7100,202403,LC-4032,1.0597
7100,202404,LC-4032,1.0848
9100,202403,LC-4033,0.7617
9100,202404,LC-4033,0.7504
6100,202403,LC-4034,1.076
6100,202404,LC-4034,1.1225
7100,202403,LC-4035,1.176
7100,202404,LC-4035,1.1698
9100,202403,LC-4036,1.1186
9100,202404,LC-4036,1.1154
6100,202403,LC-4037,1.4828
6100,202404,LC-4037,1.5463
7100,202403,LC-4038,1.5627
7100,202404,LC-4038,1.5545
9100,202403,LC-4039,0.9334
9100,202404,LC-4039,0.9269
6100,202403,LC-4040,1.268
6100,202404,LC-4040,1.2473
7100,202403,LC-4041,1.2667
7100,202404,LC-4041,1.2673
9100,202403,LC-4042,1.1293
9100,202404,LC-4042,1.1235
6100,202403,LC-4043,1.103
6100,202404,LC-4043,1.089
7100,202403,LC-4044,1.5599
7100,202404,LC-4044,1.5645
9100,202403,LC-4045,1.33
9100,202404,LC-4045,1.3169
6100,202403,LC-4046,1.2386
6100,202404,LC-4046,1.2436
7100,202403,LC-4047,1.3037
7100,202404,LC-4047,1.3289
9100,202403,LC-4048,0.91
9100,202404,LC-4048,0.9545
6100,202403,LC-4049,0.8758
6100,202404,LC-4049,0.8765
7100,202403,LC-4050,1.417
7100,202404,LC-4050,1.4626
9100,202403,LC-4051,1.3155
9100,202404,LC-4051,1.3576
6100,202403,LC-4052,1.341
6100,202404,LC-4052,1.3474
7100,202403,LC-4053,0.9293
7100,202404,LC-4053,0.972
9100,202403,LC-4054,1.042
9100,202404,LC-4054,1.0535
6100,202403,LC-4055,0.9459
6100,202404,LC-4055,0.953
7100,202403,LC-4056,1.3719
7100,202404,LC-4056,1.3808
9100,202403,LC-4057,1.4013
9100,202404,LC-4057,1.3834
6100,202403,LC-4058,0.7573
6100,202404,LC-4058,0.7793
7100,202403,LC-4059,0.7427
7100,202404,LC-4059,0.7398
9100,202403,LC-4060,1.3572
9100,202404,LC-4060,1.3677
6100,202403,LC-4061,0.9207
6100,202404,LC-4061,0.9175
7100,202403,LC-4062,1.5359
7100,202404,LC-4062,1.6013
9100,202403,LC-4063,1.4719
9100,202404,LC-4063,1.4975
6100,202403,LC-4064,0.7457
6100,202404,LC-4064,0.7801
7100,202403,LC-4065,1.5021
7100,202404,LC-4065,1.491
9100,202403,LC-4066,0.9196
9100,202404,LC-4066,0.9251
6100,202403,LC-4067,1.3815
6100,202404,LC-4067,1.4173
7100,202403,LC-4068,1.2625
7100,202404,LC-4068,1.2955
9100,202403,LC-4069,0.7374
9100,202404,LC-4069,0.7423
6100,202403,LC-4070,1.3373
6100,202404,LC-4070,1.3138
7100,202403,LC-4071,1.2461
7100,202404,LC-4071,1.2382
9100,202403,LC-4072,1.3929
9100,202404,LC-4072,1.3947
6100,202403,LC-4073,0.8938
6100,202404,LC-4073,0.9028
7100,202403,LC-4074,1.3212
7100,202404,LC-4074,1.3843
9100,202403,LC-4075,1.3794
9100,202404,LC-4075,1.3731
6100,202403,LC-4076,1.1473
6100,202404,LC-4076,1.1965
7100,202403,LC-4077,1.413
7100,202404,LC-4077,1.4473
9100,202403,LC-4078,0.9887
9100,202404,LC-4078,1.0162
