fabric_code,loom_code,buyer_code,report_period,market_segment,team_leader,buyer_group,product_desc,buyer_name,sales_channel,region,total_invoice_qty,total_prod_per_machine,machine_id
FAB-W001,LC-1001,BUY-101,202401,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,Cotton Sateen 300TC,FabricMart Ltd,Online,West,4500,4500,LOOM-A01
FAB-W001,LC-1001,BUY-101,202402,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,Cotton Sateen 300TC,FabricMart Ltd,Online,West,4200,4200,LOOM-A01
FAB-W002,LC-1002,BUY-102,202401,APPAREL,Neha Joshi,EXPORT HOUSE,Polyester Twill 150D,Global Threads Inc,Export,South,6000,6000,LOOM-A02
FAB-W002,LC-1002,BUY-102,202402,APPAREL,Neha Joshi,EXPORT HOUSE,Polyester Twill 150D,Global Threads Inc,Export,South,5800,5800,LOOM-A02
FAB-W003,LC-2001,BUY-201,202401,LUXURY,Amit Kulkarni,BOUTIQUE,Mulberry Silk Chiffon,Luxe Drapes GmbH,Export,North,1200,1200,LOOM-B01
FAB-W003,LC-2001,BUY-201,202402,LUXURY,Amit Kulkarni,BOUTIQUE,Mulberry Silk Chiffon,Luxe Drapes GmbH,Export,North,1100,1100,LOOM-B01
FAB-W004,LC-2002,BUY-202,202401,HOME TEXTILES,Priya Nair,MID RETAIL,Cotton Canvas Duck,HomeDecor Co,Domestic,East,3200,3200,LOOM-B02
FAB-W004,LC-2002,BUY-202,202402,HOME TEXTILES,Priya Nair,MID RETAIL,Cotton Canvas Duck,HomeDecor Co,Domestic,East,3000,3000,LOOM-B02
FAB-W005,LC-3001,BUY-301,202401,APPAREL,Suresh Menon,EXPORT HOUSE,Belgian Linen Tweed,Nordic Fabrics Ltd,Export,West,2400,2400,LOOM-C01
FAB-W005,LC-3001,BUY-301,202402,APPAREL,Suresh Menon,EXPORT HOUSE,Belgian Linen Tweed,Nordic Fabrics Ltd,Export,West,2200,2200,LOOM-C01
FAB-W006,LC-3002,BUY-302,202401,HOME TEXTILES,Deepa Iyer,SMALL RETAIL,Poly Voile Sheer,CurtainWorld,Domestic,South,5500,5500,LOOM-C02
FAB-W006,LC-3002,BUY-302,202402,HOME TEXTILES,Deepa Iyer,SMALL RETAIL,Poly Voile Sheer,CurtainWorld,Domestic,South,5200,5200,LOOM-C02
FAB-W0007,LC-4001,BUY-401,202403,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,COTTON-A Fabric Lot 1,FabricMart Ltd,Online,West,5781,5781,LOOM-GEN0000
FAB-W0007,LC-4001,BUY-401,202404,HOME TEXTILES,Ravi Sharma,LARGE RETAIL,COTTON-A Fabric Lot 1,FabricMart Ltd,Online,West,5570,5570,LOOM-GEN0000
FAB-W0008,LC-4002,BUY-402,202403,APPAREL,Neha Joshi,EXPORT HOUSE,COTTON-B Fabric Lot 2,Global Threads Inc,Export,South,4320,4320,LOOM-GEN0001
FAB-W0008,LC-4002,BUY-402,202404,APPAREL,Neha Joshi,EXPORT HOUSE,COTTON-B Fabric Lot 2,Global Threads Inc,Export,South,4241,4241,LOOM-GEN0001
FAB-W0009,LC-4003,BUY-403,202403,LUXURY,Amit Kulkarni,BOUTIQUE,POLY-B Fabric Lot 3,Luxe Drapes GmbH,Domestic,North,6290,6290,LOOM-GEN0002
FAB-W0009,LC-4003,BUY-403,202404,LUXURY,Amit Kulkarni,BOUTIQUE,POLY-B Fabric Lot 3,Luxe Drapes GmbH,Domestic,North,6745,6745,LOOM-GEN0002
FAB-W0010,LC-4004,BUY-404,202403,HOME TEXTILES,Priya Nair,MID RETAIL,POLY-C Fabric Lot 4,HomeDecor Co,Online,East,5027,5027,LOOM-GEN0003
FAB-W0010,LC-4004,BUY-404,202404,HOME TEXTILES,Priya Nair,MID RETAIL,POLY-C Fabric Lot 4,HomeDecor Co,Online,East,4588,4588,LOOM-GEN0003
FAB-W0011,LC-4005,BUY-405,202403,APPAREL,Suresh Menon,SMALL RETAIL,SILK-C Fabric Lot 5,Nordic Fabrics Ltd,Export,Central,1016,1016,LOOM-GEN0004
FAB-W0011,LC-4005,BUY-405,202404,APPAREL,Suresh Menon,SMALL RETAIL,SILK-C Fabric Lot 5,Nordic Fabrics Ltd,Export,Central,874,874,LOOM-GEN0004
FAB-W0012,LC-4006,BUY-406,202403,LUXURY,Deepa Iyer,LARGE RETAIL,LINEN-A Fabric Lot 6,CurtainWorld,Domestic,West,913,913,LOOM-GEN0005
FAB-W0012,LC-4006,BUY-406,202404,LUXURY,Deepa Iyer,LARGE RETAIL,LINEN-A Fabric Lot 6,CurtainWorld,Domestic,West,862,862,LOOM-GEN0005
FAB-W0013,LC-4007,BUY-407,202403,HOME TEXTILES,Kiran Rao,EXPORT HOUSE,VISCOSE-D Fabric Lot 7,Textura Imports,Online,South,1144,1144,LOOM-GEN0006
FAB-W0013,LC-4007,BUY-407,202404,HOME TEXTILES,Kiran Rao,EXPORT HOUSE,VISCOSE-D Fabric Lot 7,Textura Imports,Online,South,1153,1153,LOOM-GEN0006
FAB-W0014,LC-4008,BUY-408,202403,APPAREL,Anjali Desai,BOUTIQUE,MODAL-E Fabric Lot 8,Weave & Co,Export,North,2390,2390,LOOM-GEN0007
FAB-W0014,LC-4008,BUY-408,202404,APPAREL,Anjali Desai,BOUTIQUE,MODAL-E Fabric Lot 8,Weave & Co,Export,North,2120,2120,LOOM-GEN0007
FAB-W0015,LC-4009,BUY-409,202403,LUXURY,Manoj Pillai,MID RETAIL,COTTON-A Fabric Lot 9,Loomcraft LLC,Domestic,East,2315,2315,LOOM-GEN0008
FAB-W0015,LC-4009,BUY-409,202404,LUXURY,Manoj Pillai,MID RETAIL,COTTON-A Fabric Lot 9,Loomcraft LLC,Domestic,East,2320,2320,LOOM-GEN0008
FAB-W0016,LC-4010,BUY-410,202403,HOME TEXTILES,Sunita Reddy,SMALL RETAIL,COTTON-B Fabric Lot 10,FabricMart Ltd,Online,Central,3897,3897,LOOM-GEN0009
FAB-W0016,LC-4010,BUY-410,202404,HOME TEXTILES,Sunita Reddy,SMALL RETAIL,COTTON-B Fabric Lot 10,FabricMart Ltd,Online,Central,3878,3878,LOOM-GEN0009
FAB-W0017,LC-4011,BUY-411,202403,APPAREL,Ravi Sharma,LARGE RETAIL,POLY-B Fabric Lot 11,Global Threads Inc,Export,West,5836,5836,LOOM-GEN0010
FAB-W0017,LC-4011,BUY-411,202404,APPAREL,Ravi Sharma,LARGE RETAIL,POLY-B Fabric Lot 11,Global Threads Inc,Export,West,5266,5266,LOOM-GEN0010
FAB-W0018,LC-4012,BUY-412,202403,LUXURY,Neha Joshi,EXPORT HOUSE,POLY-C Fabric Lot 12,Luxe Drapes GmbH,Domestic,South,1740,1740,LOOM-GEN0011
FAB-W0018,LC-4012,BUY-412,202404,LUXURY,Neha Joshi,EXPORT HOUSE,POLY-C Fabric Lot 12,Luxe Drapes GmbH,Domestic,South,1780,1780,LOOM-GEN0011
FAB-W0019,LC-4013,BUY-413,202403,HOME TEXTILES,Amit Kulkarni,BOUTIQUE,SILK-C Fabric Lot 13,HomeDecor Co,Online,North,3326,3326,LOOM-GEN0012
FAB-W0019,LC-4013,BUY-413,202404,HOME TEXTILES,Amit Kulkarni,BOUTIQUE,SILK-C Fabric Lot 13,HomeDecor Co,Online,North,3097,3097,LOOM-GEN0012
FAB-W0020,LC-4014,BUY-414,202403,APPAREL,Priya Nair,MID RETAIL,LINEN-A Fabric Lot 14,Nordic Fabrics Ltd,Export,East,4311,4311,LOOM-GEN0013
FAB-W0020,LC-4014,BUY-414,202404,APPAREL,Priya Nair,MID RETAIL,LINEN-A Fabric Lot 14,Nordic Fabrics Ltd,Export,East,3833,3833,LOOM-GEN0013
FAB-W0021,LC-4015,BUY-415,202403,LUXURY,Suresh Menon,SMALL RETAIL,VISCOSE-D Fabric Lot 15,CurtainWorld,Domestic,Central,2313,2313,LOOM-GEN0014
FAB-W0021,LC-4015,BUY-415,202404,LUXURY,Suresh Menon,SMALL RETAIL,VISCOSE-D Fabric Lot 15,CurtainWorld,Domestic,Central,2447,2447,LOOM-GEN0014
FAB-W0022,LC-4016,BUY-416,202403,HOME TEXTILES,Deepa Iyer,LARGE RETAIL,MODAL-E Fabric Lot 16,Textura Imports,Online,West,2219,2219,LOOM-GEN0015
FAB-W0022,LC-4016,BUY-416,202404,HOME TEXTILES,Deepa Iyer,LARGE RETAIL,MODAL-E Fabric Lot 16,Textura Imports,Online,West,2237,2237,LOOM-GEN0015
FAB-W0023,LC-4017,BUY-417,202403,APPAREL,Kiran Rao,EXPORT HOUSE,COTTON-A Fabric Lot 17,Weave & Co,Export,South,3740,3740,LOOM-GEN0016
FAB-W0023,LC-4017,BUY-417,202404,APPAREL,Kiran Rao,EXPORT HOUSE,COTTON-A Fabric Lot 17,Weave & Co,Export,South,3275,3275,LOOM-GEN0016
FAB-W0024,LC-4018,BUY-418,202403,LUXURY,Anjali Desai,BOUTIQUE,COTTON-B Fabric Lot 18,Loomcraft LLC,Domestic,North,3924,3924,LOOM-GEN0017
FAB-W0024,LC-4018,BUY-418,202404,LUXURY,Anjali Desai,BOUTIQUE,COTTON-B Fabric Lot 18,Loomcraft LLC,Domestic,North,3632,3632,LOOM-GEN0017
FAB-W0025,LC-4019,BUY-419,202403,HOME TEXTILES,Manoj Pillai,MID RETAIL,POLY-B Fabric Lot 19,FabricMart Ltd,Online,East,3925,3925,LOOM-GEN0018
FAB-W0025,LC-4019,BUY-419,202404,HOME TEXTILES,Manoj Pillai,MID RETAIL,POLY-B Fabric Lot 19,FabricMart Ltd,Online,East,4048,4048,LOOM-GEN0018
FAB-W0026,LC-4020,BUY-420,202403,APPAREL,Sunita Reddy,SMALL RETAIL,POLY-C Fabric Lot 20,Global Threads Inc,Export,Central,3516,3516,LOOM-GEN0019
