machine_id,loom_code,plant_weaving,plant_finishing,fabric_code,buyer_code,currency_code,exchange_rate,report_period,net_weight_kg,input_weight_kg,overhead_pct,yarn_grade,yarn_rate_per_kg,selling_price_inr,selling_price_fc,raw_material_inr,bought_out_inr,outsource_total_inr,outsource_weaving_inr,outsource_finishing_inr,domestic_outsource_inr,logistics_inr,packing_inr,forwarding_inr,process_tag
LOOM-A01,LC-1001,6100,6200.0,FAB-W001,BUY-101,INR,1.0,202401,1.2,1.45,8.5,COTTON-A,185.0,520.0,520.0,250.0,30.0,0.0,0.0,0.0,0.0,18.0,12.0,8.0,Standard Weaving Cost
LOOM-A01,LC-1001,6100,6200.0,FAB-W001,BUY-101,INR,1.0,202402,1.2,1.45,8.5,COTTON-A,185.0,525.0,525.0,252.0,30.0,0.0,0.0,0.0,0.0,18.0,12.0,8.0,Standard Weaving Cost
LOOM-A02,LC-1002,6100,6200.0,FAB-W002,BUY-102,USD,83.25,202401,0.98,1.2,9.0,POLY-B,160.0,620.0,7.45,290.0,25.0,0.0,0.0,0.0,0.0,20.0,14.0,10.0,Standard Weaving Cost
LOOM-A02,LC-1002,6100,6200.0,FAB-W002,BUY-102,USD,84.1,202402,0.98,1.2,9.0,POLY-B,162.0,625.0,7.5,292.0,25.0,0.0,0.0,0.0,0.0,20.0,14.0,10.0,Standard Weaving Cost
LOOM-B01,LC-2001,7100,7200.0,FAB-W003,BUY-201,EUR,89.5,202401,1.5,1.8,7.5,SILK-C,420.0,1100.0,12.3,650.0,40.0,0.0,0.0,0.0,0.0,25.0,18.0,15.0,Standard Weaving Cost
LOOM-B01,LC-2001,7100,7200.0,FAB-W003,BUY-201,EUR,90.2,202402,1.5,1.8,7.5,SILK-C,422.0,1110.0,12.35,655.0,40.0,0.0,0.0,0.0,0.0,25.0,18.0,15.0,Standard Weaving Cost
LOOM-B02,LC-2002,7100,7200.0,FAB-W004,BUY-202,INR,1.0,202401,0.85,1.05,8.0,COTTON-B,195.0,480.0,480.0,235.0,35.0,35.0,20.0,15.0,12.0,16.0,10.0,5.0,Subcon Cost Considered here
LOOM-B02,LC-2002,7100,7200.0,FAB-W004,BUY-202,INR,1.0,202402,0.85,1.05,8.0,COTTON-B,197.0,485.0,485.0,237.0,35.0,35.0,20.0,15.0,12.0,16.0,10.0,5.0,Subcon Cost Considered here
LOOM-C01,LC-3001,9100,9200.0,FAB-W005,BUY-301,GBP,106.5,202401,1.1,1.35,9.5,LINEN-A,310.0,820.0,7.7,410.0,28.0,28.0,15.0,13.0,8.0,19.0,11.0,7.0,Subcon Cost Considered here
LOOM-C01,LC-3001,9100,9200.0,FAB-W005,BUY-301,GBP,107.2,202402,1.1,1.35,9.5,LINEN-A,312.0,825.0,7.75,412.0,28.0,28.0,15.0,13.0,8.0,19.0,11.0,7.0,Subcon Cost Considered here
LOOM-A01,LC-1001,6100,6200.0,FAB-W001,BUY-101,INR,1.0,202401,1.2,1.45,8.5,COTTON-A,185.0,520.0,520.0,250.0,30.0,0.0,0.0,0.0,0.0,18.0,12.0,8.0,Monthly reco adjustment
LOOM-B01,LC-2001,7100,7200.0,FAB-W003,BUY-201,EUR,89.5,202401,1.5,1.8,7.5,SILK-C,420.0,1100.0,12.3,650.0,40.0,0.0,0.0,0.0,0.0,25.0,18.0,15.0,Considered and excluded
LOOM-C02,LC-3002,9100,,FAB-W006,BUY-302,INR,1.0,202401,0.75,0.92,7.0,POLY-C,140.0,390.0,390.0,185.0,20.0,0.0,0.0,0.0,0.0,12.0,9.0,4.0,Standard Weaving Cost
LOOM-C02,LC-3002,9100,,FAB-W006,BUY-302,INR,1.0,202402,0.75,0.92,7.0,POLY-C,142.0,395.0,395.0,187.0,20.0,0.0,0.0,0.0,0.0,12.0,9.0,4.0,Standard Weaving Cost
LOOM-GEN0000,LC-4001,6100,6200.0,FAB-W0007,BUY-401,INR,1.0,202403,1.495,1.652,7.6,COTTON-A,193.66,1049.65,1049.65,533.19,507.85,3.48,1.74,1.74,8.44,8.66,9.06,10.06,Standard Weaving Cost
LOOM-GEN0000,LC-4001,6100,6200.0,FAB-W0007,BUY-401,INR,1.0,202404,1.495,1.652,7.6,COTTON-A,193.66,1049.65,1049.65,533.19,507.85,3.48,1.74,1.74,8.44,8.66,9.06,10.06,Standard Weaving Cost
LOOM-GEN0001,LC-4002,7100,7200.0,FAB-W0008,BUY-402,USD,83.5,202403,0.637,0.726,9.1,COTTON-B,299.83,559.42,6.7,277.81,263.72,0.26,0.13,0.13,16.12,23.36,10.76,5.87,Standard Weaving Cost
LOOM-GEN0001,LC-4002,7100,7200.0,FAB-W0008,BUY-402,USD,83.5,202404,0.637,0.726,9.1,COTTON-B,299.83,559.42,6.7,277.81,263.72,0.26,0.13,0.13,16.12,23.36,10.76,5.87,Standard Weaving Cost
LOOM-GEN0002,LC-4003,9100,9200.0,FAB-W0009,BUY-403,EUR,89.8,202403,1.94,2.265,6.87,POLY-B,151.92,1155.12,12.86,575.81,544.14,29.19,14.6,14.6,10.72,29.41,11.3,10.62,Standard Weaving Cost
LOOM-GEN0002,LC-4003,9100,9200.0,FAB-W0009,BUY-403,EUR,89.8,202404,1.94,2.265,6.87,POLY-B,151.92,1155.12,12.86,575.81,544.14,29.19,14.6,14.6,10.72,29.41,11.3,10.62,Standard Weaving Cost
LOOM-GEN0003,LC-4004,6100,6200.0,FAB-W0010,BUY-404,GBP,106.9,202403,1.761,2.155,9.95,POLY-C,310.53,1019.34,9.54,434.2,391.61,11.58,5.79,5.79,1.6,13.12,7.41,7.34,Subcon Cost Considered here
LOOM-GEN0003,LC-4004,6100,6200.0,FAB-W0010,BUY-404,GBP,106.9,202404,1.761,2.155,9.95,POLY-C,310.53,1019.34,9.54,434.2,391.61,11.58,5.79,5.79,1.6,13.12,7.41,7.34,Subcon Cost Considered here
LOOM-GEN0004,LC-4005,7100,7200.0,FAB-W0011,BUY-405,INR,1.0,202403,1.49,1.748,7.98,SILK-C,189.14,603.63,603.63,327.03,269.95,24.37,12.19,12.19,3.42,24.04,8.29,8.55,Monthly reconcile adjustment
LOOM-GEN0004,LC-4005,7100,7200.0,FAB-W0011,BUY-405,INR,1.0,202404,1.49,1.748,7.98,SILK-C,189.14,603.63,603.63,327.03,269.95,24.37,12.19,12.19,3.42,24.04,8.29,8.55,Monthly reconcile adjustment
LOOM-GEN0005,LC-4006,9100,9200.0,FAB-W0012,BUY-406,USD,83.5,202403,1.985,2.438,8.73,LINEN-A,345.92,1150.71,13.78,599.38,442.28,1.28,0.64,0.64,6.31,13.89,8.95,15.31,Reviewed by finance team
LOOM-GEN0005,LC-4006,9100,9200.0,FAB-W0012,BUY-406,USD,83.5,202404,1.985,2.438,8.73,LINEN-A,345.92,1150.71,13.78,599.38,442.28,1.28,0.64,0.64,6.31,13.89,8.95,15.31,Reviewed by finance team
LOOM-GEN0006,LC-4007,6100,6200.0,FAB-W0013,BUY-407,EUR,89.8,202403,1.827,2.125,9.12,VISCOSE-D,250.56,1218.82,13.57,584.61,475.01,9.87,4.93,4.93,11.23,13.78,14.18,14.77,Outsourced_here process cost
LOOM-GEN0006,LC-4007,6100,6200.0,FAB-W0013,BUY-407,EUR,89.8,202404,1.827,2.125,9.12,VISCOSE-D,250.56,1218.82,13.57,584.61,475.01,9.87,4.93,4.93,11.23,13.78,14.18,14.77,Outsourced_here process cost
LOOM-GEN0007,LC-4008,7100,7200.0,FAB-W0014,BUY-408,GBP,106.9,202403,1.159,1.326,10.49,MODAL-E,288.14,436.36,4.08,185.94,159.9,25.1,12.55,12.55,15.84,17.29,6.89,8.58,Standard Weaving Cost
LOOM-GEN0007,LC-4008,7100,7200.0,FAB-W0014,BUY-408,GBP,106.9,202404,1.159,1.326,10.49,MODAL-E,288.14,436.36,4.08,185.94,159.9,25.1,12.55,12.55,15.84,17.29,6.89,8.58,Standard Weaving Cost
LOOM-GEN0008,LC-4009,9100,9200.0,FAB-W0015,BUY-409,INR,1.0,202403,1.995,2.406,10.38,COTTON-A,404.06,360.91,360.91,185.4,163.22,21.48,10.74,10.74,5.34,22.1,7.56,9.22,Standard Weaving Cost
LOOM-GEN0008,LC-4009,9100,9200.0,FAB-W0015,BUY-409,INR,1.0,202404,1.995,2.406,10.38,COTTON-A,404.06,360.91,360.91,185.4,163.22,21.48,10.74,10.74,5.34,22.1,7.56,9.22,Standard Weaving Cost
LOOM-GEN0009,LC-4010,6100,6200.0,FAB-W0016,BUY-410,USD,83.5,202403,1.235,1.594,10.0,COTTON-B,206.92,825.56,9.89,365.91,401.96,34.82,17.41,17.41,5.97,22.06,14.53,5.83,Standard Weaving Cost
LOOM-GEN0009,LC-4010,6100,6200.0,FAB-W0016,BUY-410,USD,83.5,202404,1.235,1.594,10.0,COTTON-B,206.92,825.56,9.89,365.91,401.96,34.82,17.41,17.41,5.97,22.06,14.53,5.83,Standard Weaving Cost
LOOM-GEN0010,LC-4011,7100,7200.0,FAB-W0017,BUY-411,EUR,89.8,202403,1.668,2.015,9.61,POLY-B,295.02,350.54,3.9,162.0,123.71,37.16,18.58,18.58,17.57,26.3,10.31,4.7,Subcon Cost Considered here
LOOM-GEN0010,LC-4011,7100,7200.0,FAB-W0017,BUY-411,EUR,89.8,202404,1.668,2.015,9.61,POLY-B,295.02,350.54,3.9,162.0,123.71,37.16,18.58,18.58,17.57,26.3,10.31,4.7,Subcon Cost Considered here
LOOM-GEN0011,LC-4012,9100,9200.0,FAB-W0018,BUY-412,GBP,106.9,202403,1.829,2.358,6.84,POLY-C,280.38,415.75,3.89,215.72,193.27,5.14,2.57,2.57,9.51,20.1,9.71,14.47,Monthly reconcile adjustment
LOOM-GEN0011,LC-4012,9100,9200.0,FAB-W0018,BUY-412,GBP,106.9,202404,1.829,2.358,6.84,POLY-C,280.38,415.75,3.89,215.72,193.27,5.14,2.57,2.57,9.51,20.1,9.71,14.47,Monthly reconcile adjustment
LOOM-GEN0012,LC-4013,6100,6200.0,FAB-W0019,BUY-413,INR,1.0,202403,1.192,1.362,8.66,SILK-C,360.88,541.09,541.09,249.18,270.15,26.0,13.0,13.0,8.76,19.39,7.69,6.7,Reviewed by finance team
