yarn_code,rate_per_unit,rate_period,unit_of_measure
Y-CTN-001,182.0,202310,KG
Y-CTN-001,184.0,202312,KG
Y-CTN-001,220.0,202401,KG
Y-PLY-002,158.0,202311,KG
Y-PLY-002,161.0,202401,KG
Y-SLK-003,390000.0,202312,TO
Y-SLK-003,425000.0,202401,TO
Y-CTN-004,193.0,202311,KG
Y-CTN-004,196.0,202401,KG
Y-LNN-005,298.0,202312,KG
Y-LNN-005,380.0,202401,KG
Y-PLY-006,138.0,202401,KG
C-WVN-007,45.0,202401,KG
Y-GEN-1000,241380.0,202403,TO
Y-GEN-1000,248180.0,202404,TO
Y-GEN-1001,430.54,202403,KG
Y-GEN-1001,524.6,202404,KG
Y-GEN-1002,342.18,202403,KG
Y-GEN-1002,333.17,202404,KG
Y-GEN-1003,340.77,202403,KG
Y-GEN-1003,349.66,202404,KG
Y-GEN-1004,366.76,202403,KG
Y-GEN-1004,473.4,202404,KG
Y-GEN-1005,329.91,202403,KG
Y-GEN-1005,384.44,202404,KG
Y-GEN-1006,229.94,202403,KG
Y-GEN-1006,280.6,202404,KG
Y-GEN-1007,203.09,202403,KG
Y-GEN-1007,248.21,202404,KG
Y-GEN-1008,212.48,202403,KG
Y-GEN-1008,250.65,202404,KG
Y-GEN-1009,139.59,202403,KG
Y-GEN-1009,140.74,202404,KG
Y-GEN-1010,345.26,202403,KG
Y-GEN-1010,352.38,202404,KG
Y-GEN-1011,333.97,202403,KG
Y-GEN-1011,376.95,202404,KG
Y-GEN-1012,432.4,202403,KG
Y-GEN-1012,508.39,202404,KG
Y-GEN-1013,373.44,202403,KG
Y-GEN-1013,449.42,202404,KG
Y-GEN-1014,202.05,202403,KG
Y-GEN-1014,236.66,202404,KG
Y-GEN-1015,300.93,202403,KG
Y-GEN-1015,335.95,202404,KG
Y-GEN-1016,246.64,202403,KG
Y-GEN-1016,291.3,202404,KG
Y-GEN-1017,339.13,202403,KG
Y-GEN-1017,394.54,202404,KG
Y-GEN-1018,215.82,202403,KG
Y-GEN-1018,208.19,202404,KG
Y-GEN-1019,387.83,202403,KG
Y-GEN-1019,490.72,202404,KG
Y-GEN-1020,389.5,202403,KG
Y-GEN-1020,371.22,202404,KG
Y-GEN-1021,172.35,202403,KG
Y-GEN-1021,206.5,202404,KG
Y-GEN-1022,263.31,202403,KG
Y-GEN-1022,292.15,202404,KG
Y-GEN-1023,445.58,202403,KG
Y-GEN-1023,547.32,202404,KG
Y-GEN-1024,313.04,202403,KG
Y-GEN-1024,308.63,202404,KG
Y-GEN-1025,277.5,202403,KG
Y-GEN-1025,356.5,202404,KG
